external_transaction_id,external_player_id,type,amount,currency,method,status,occurred_at,description,bank_account_origin
TX-001037,PLY-INCO-083,DEPOSIT,1061.25,BRL,TED,SETTLED,2026-01-03T12:37:13Z,,
TX-000569,PLY-NORM-049,DEPOSIT,1003.44,BRL,TED,SETTLED,2026-01-03T15:09:28Z,,
TX-000794,PLY-NORM-066,DEPOSIT,612.44,BRL,PIX,SETTLED,2026-01-03T17:54:50Z,,
TX-002366,PLY-PEP_-118,DEPOSIT,12958.16,BRL,PIX,SETTLED,2026-01-03T21:14:35Z,,
TX-000849,PLY-NORM-071,DEPOSIT,2895.18,BRL,PIX,SETTLED,2026-01-03T21:22:09Z,,
TX-000760,PLY-NORM-064,DEPOSIT,1083.47,BRL,PIX,SETTLED,2026-01-03T22:10:52Z,,
TX-000889,PLY-NORM-074,DEPOSIT,2553.44,BRL,TED,SETTLED,2026-01-04T00:11:36Z,,
TX-000387,PLY-NORM-034,DEPOSIT,269.36,BRL,TED,SETTLED,2026-01-04T02:37:03Z,,
TX-000250,PLY-NORM-023,DEPOSIT,708.29,BRL,TED,SETTLED,2026-01-04T02:45:11Z,,
TX-000731,PLY-NORM-062,DEPOSIT,1005.96,BRL,PIX,SETTLED,2026-01-04T03:52:14Z,,
TX-002001,PLY-BONU-111,DEPOSIT,116.36,BRL,PIX,SETTLED,2026-01-04T04:59:26Z,,
TX-000181,PLY-NORM-018,DEPOSIT,285.74,BRL,PIX,SETTLED,2026-01-04T05:39:47Z,,
TX-000726,PLY-NORM-061,DEPOSIT,1302.28,BRL,PIX,SETTLED,2026-01-04T06:16:53Z,,
TX-000509,PLY-NORM-044,DEPOSIT,1399.75,BRL,PIX,SETTLED,2026-01-04T06:18:19Z,,
TX-000238,PLY-NORM-022,DEPOSIT,2642.56,BRL,WALLET,SETTLED,2026-01-04T08:01:01Z,,
TX-001089,PLY-INCO-085,DEPOSIT,2218.37,BRL,WALLET,SETTLED,2026-01-04T09:02:36Z,,
TX-000930,PLY-NORM-078,DEPOSIT,2876.44,BRL,WALLET,SETTLED,2026-01-04T12:05:04Z,,
TX-000552,PLY-NORM-048,DEPOSIT,1817.38,BRL,PIX,SETTLED,2026-01-04T14:32:32Z,,
TX-002419,PLY-PEP_-120,DEPOSIT,3944.12,BRL,PIX,SETTLED,2026-01-04T14:32:36Z,,
TX-000378,PLY-NORM-034,DEPOSIT,1179.65,BRL,TED,SETTLED,2026-01-04T14:39:20Z,,
TX-000690,PLY-NORM-059,DEPOSIT,2347.05,BRL,WALLET,SETTLED,2026-01-04T14:42:20Z,,
TX-002163,PLY-BONU-113,FREE_BET,30.01,BRL,WALLET,SETTLED,2026-01-04T17:58:19Z,Free bet promo,
TX-002164,PLY-BONU-113,FREE_BET,28.95,BRL,WALLET,SETTLED,2026-01-04T22:18:43Z,Free bet promo,
TX-000088,PLY-NORM-008,DEPOSIT,1024.95,BRL,WALLET,SETTLED,2026-01-04T23:30:01Z,,
TX-000198,PLY-NORM-019,DEPOSIT,1263.49,BRL,PIX,SETTLED,2026-01-04T23:56:08Z,,
TX-000919,PLY-NORM-077,DEPOSIT,966.05,BRL,PIX,SETTLED,2026-01-05T00:29:04Z,,
TX-000340,PLY-NORM-030,DEPOSIT,2054.96,BRL,TED,SETTLED,2026-01-05T01:01:40Z,,
TX-002206,PLY-BONU-114,BONUS,71.17,BRL,WALLET,SETTLED,2026-01-05T03:09:43Z,Bonus deposito,
TX-002325,PLY-PEP_-116,DEPOSIT,11047.50,BRL,PIX,SETTLED,2026-01-05T04:18:51Z,,
TX-001269,PLY-INCO-090,DEPOSIT,1868.37,BRL,WALLET,SETTLED,2026-01-05T05:12:33Z,,
TX-000012,PLY-NORM-002,DEPOSIT,174.86,BRL,PIX,SETTLED,2026-01-05T09:03:00Z,,
TX-001737,PLY-STRU-097,DEPOSIT,437.14,BRL,PIX,SETTLED,2026-01-05T09:45:25Z,,
TX-001738,PLY-STRU-097,DEPOSIT,892.62,BRL,TED,SETTLED,2026-01-05T10:11:25Z,,
TX-001221,PLY-INCO-089,DEPOSIT,1119.60,BRL,TED,SETTLED,2026-01-05T10:52:29Z,,
TX-000777,PLY-NORM-065,DEPOSIT,522.38,BRL,WALLET,SETTLED,2026-01-05T11:19:57Z,,
TX-001739,PLY-STRU-097,DEPOSIT,598.17,BRL,PIX,SETTLED,2026-01-05T11:46:25Z,,
TX-001745,PLY-STRU-097,DEPOSIT,865.67,BRL,PIX,SETTLED,2026-01-05T12:55:25Z,,
TX-001260,PLY-INCO-090,DEPOSIT,1388.95,BRL,TED,SETTLED,2026-01-05T13:08:09Z,,
TX-001744,PLY-STRU-097,DEPOSIT,929.99,BRL,PIX,SETTLED,2026-01-05T13:41:25Z,,
TX-001746,PLY-STRU-097,DEPOSIT,619.42,BRL,PIX,SETTLED,2026-01-05T14:39:25Z,,
TX-001740,PLY-STRU-097,DEPOSIT,786.90,BRL,PIX,SETTLED,2026-01-05T14:49:25Z,,
TX-001741,PLY-STRU-097,DEPOSIT,686.83,BRL,TED,SETTLED,2026-01-05T15:19:25Z,,
TX-001742,PLY-STRU-097,DEPOSIT,712.80,BRL,PIX,SETTLED,2026-01-05T15:19:25Z,,
TX-001747,PLY-STRU-097,DEPOSIT,487.52,BRL,PIX,SETTLED,2026-01-05T15:20:25Z,,
TX-001743,PLY-STRU-097,DEPOSIT,670.22,BRL,PIX,SETTLED,2026-01-05T16:48:25Z,,
TX-000868,PLY-NORM-073,DEPOSIT,1145.46,BRL,PIX,SETTLED,2026-01-05T18:35:16Z,,
TX-000614,PLY-NORM-053,DEPOSIT,438.04,BRL,WALLET,SETTLED,2026-01-05T20:17:45Z,,
TX-000141,PLY-NORM-014,DEPOSIT,2036.41,BRL,WALLET,SETTLED,2026-01-05T20:46:24Z,,
TX-001918,PLY-NETW-103,DEPOSIT,3839.26,BRL,PIX,SETTLED,2026-01-05T22:06:13Z,,PIX:shared.beta@fictibet.test
TX-001965,PLY-NETW-107,DEPOSIT,1174.83,BRL,PIX,SETTLED,2026-01-05T23:50:27Z,,PIX:shared.gamma@fictibet.test
TX-002267,PLY-BONU-115,BONUS,122.01,BRL,WALLET,SETTLED,2026-01-06T00:14:42Z,Bonus deposito,
TX-000162,PLY-NORM-016,DEPOSIT,1892.51,BRL,WALLET,SETTLED,2026-01-06T05:25:03Z,,
TX-002209,PLY-BONU-114,BONUS,452.51,BRL,WALLET,SETTLED,2026-01-06T09:03:18Z,Bonus deposito,
TX-001904,PLY-NETW-102,DEPOSIT,2568.45,BRL,PIX,SETTLED,2026-01-06T10:58:37Z,,PIX:shared.alpha@fictibet.test
TX-001218,PLY-INCO-089,DEPOSIT,523.08,BRL,TED,SETTLED,2026-01-06T14:52:18Z,,
TX-000236,PLY-NORM-022,DEPOSIT,2808.38,BRL,TED,SETTLED,2026-01-06T18:29:38Z,,
TX-002378,PLY-PEP_-118,DEPOSIT,19411.34,BRL,TED,SETTLED,2026-01-06T19:28:46Z,,
TX-002261,PLY-BONU-115,BONUS,185.69,BRL,WALLET,SETTLED,2026-01-06T19:51:20Z,Bonus deposito,
TX-000030,PLY-NORM-004,DEPOSIT,1439.05,BRL,PIX,SETTLED,2026-01-06T21:13:53Z,,
TX-000915,PLY-NORM-077,DEPOSIT,1533.74,BRL,PIX,SETTLED,2026-01-06T21:50:03Z,,
TX-000792,PLY-NORM-066,DEPOSIT,557.79,BRL,TED,SETTLED,2026-01-07T01:06:58Z,,
TX-001178,PLY-INCO-088,DEPOSIT,1221.01,BRL,WALLET,SETTLED,2026-01-07T01:17:42Z,,
TX-000887,PLY-NORM-074,DEPOSIT,446.13,BRL,PIX,SETTLED,2026-01-07T03:46:11Z,,
TX-002067,PLY-BONU-112,DEPOSIT,183.83,BRL,PIX,SETTLED,2026-01-07T04:49:47Z,,
TX-000931,PLY-NORM-078,DEPOSIT,509.98,BRL,WALLET,SETTLED,2026-01-07T06:13:47Z,,
TX-002072,PLY-BONU-112,BONUS,102.58,BRL,WALLET,SETTLED,2026-01-07T11:23:24Z,Bonus deposito,
TX-000290,PLY-NORM-026,DEPOSIT,405.92,BRL,TED,SETTLED,2026-01-07T11:33:04Z,,
TX-000423,PLY-NORM-037,DEPOSIT,204.12,BRL,PIX,SETTLED,2026-01-07T12:30:55Z,,
TX-002329,PLY-PEP_-116,DEPOSIT,9232.36,BRL,PIX,SETTLED,2026-01-07T13:09:52Z,,
TX-001916,PLY-NETW-103,DEPOSIT,626.66,BRL,PIX,SETTLED,2026-01-07T13:27:21Z,,PIX:shared.beta@fictibet.test
TX-002146,PLY-BONU-113,BONUS,429.31,BRL,WALLET,SETTLED,2026-01-07T13:45:31Z,Bonus deposito,
TX-000191,PLY-NORM-019,DEPOSIT,1325.19,BRL,PIX,SETTLED,2026-01-07T13:51:18Z,,
TX-001361,PLY-STRU-092,DEPOSIT,485.77,BRL,TED,SETTLED,2026-01-07T16:05:39Z,,
TX-000354,PLY-NORM-031,DEPOSIT,694.38,BRL,PIX,SETTLED,2026-01-07T16:34:25Z,,
TX-001360,PLY-STRU-092,DEPOSIT,432.49,BRL,PIX,SETTLED,2026-01-07T16:36:39Z,,
TX-001363,PLY-STRU-092,DEPOSIT,595.36,BRL,PIX,SETTLED,2026-01-07T16:51:39Z,,
TX-000298,PLY-NORM-027,DEPOSIT,461.30,BRL,PIX,SETTLED,2026-01-07T17:16:10Z,,
TX-001364,PLY-STRU-092,DEPOSIT,464.24,BRL,PIX,SETTLED,2026-01-07T18:02:39Z,,
TX-002273,PLY-BONU-115,BONUS,209.51,BRL,WALLET,SETTLED,2026-01-07T19:06:10Z,Bonus deposito,
TX-001367,PLY-STRU-092,DEPOSIT,864.51,BRL,PIX,SETTLED,2026-01-07T19:23:39Z,,
TX-001362,PLY-STRU-092,DEPOSIT,741.07,BRL,PIX,SETTLED,2026-01-07T19:53:39Z,,
TX-000179,PLY-NORM-018,DEPOSIT,479.17,BRL,PIX,SETTLED,2026-01-07T21:06:05Z,,
TX-000590,PLY-NORM-051,DEPOSIT,357.56,BRL,PIX,SETTLED,2026-01-07T21:44:00Z,,
TX-000700,PLY-NORM-060,DEPOSIT,1481.03,BRL,TED,SETTLED,2026-01-07T22:28:06Z,,
TX-001244,PLY-INCO-090,DEPOSIT,1529.44,BRL,WALLET,SETTLED,2026-01-07T22:30:43Z,,
TX-001369,PLY-STRU-092,DEPOSIT,454.94,BRL,PIX,SETTLED,2026-01-07T22:57:39Z,,
TX-000721,PLY-NORM-061,DEPOSIT,154.90,BRL,WALLET,SETTLED,2026-01-07T23:14:46Z,,
TX-001368,PLY-STRU-092,DEPOSIT,842.11,BRL,PIX,SETTLED,2026-01-07T23:26:39Z,,
TX-001365,PLY-STRU-092,DEPOSIT,796.53,BRL,TED,SETTLED,2026-01-08T00:05:39Z,,
TX-000825,PLY-NORM-069,DEPOSIT,1021.64,BRL,PIX,SETTLED,2026-01-08T00:45:27Z,,
TX-001366,PLY-STRU-092,DEPOSIT,807.99,BRL,TED,SETTLED,2026-01-08T01:14:39Z,,
TX-000601,PLY-NORM-052,DEPOSIT,1560.54,BRL,WALLET,SETTLED,2026-01-08T01:22:38Z,,
TX-000227,PLY-NORM-022,DEPOSIT,793.92,BRL,WALLET,SETTLED,2026-01-08T01:39:11Z,,
TX-001164,PLY-INCO-087,DEPOSIT,1808.18,BRL,TED,SETTLED,2026-01-08T04:30:32Z,,
TX-002059,PLY-BONU-112,DEPOSIT,133.55,BRL,PIX,SETTLED,2026-01-08T04:33:47Z,,
TX-001891,PLY-NETW-101,DEPOSIT,948.22,BRL,PIX,SETTLED,2026-01-08T06:09:40Z,,PIX:shared.alpha@fictibet.test
TX-002082,PLY-BONU-112,BONUS,409.20,BRL,WALLET,SETTLED,2026-01-08T06:57:35Z,Bonus deposito,
TX-000880,PLY-NORM-074,DEPOSIT,2900.92,BRL,PIX,SETTLED,2026-01-08T08:12:45Z,,
TX-000835,PLY-NORM-070,DEPOSIT,826.68,BRL,PIX,SETTLED,2026-01-08T09:14:04Z,,
TX-001257,PLY-INCO-090,DEPOSIT,998.11,BRL,TED,SETTLED,2026-01-08T09:48:07Z,,
TX-002412,PLY-PEP_-120,DEPOSIT,3832.90,BRL,PIX,SETTLED,2026-01-08T12:30:22Z,,
TX-000869,PLY-NORM-073,DEPOSIT,206.13,BRL,PIX,SETTLED,2026-01-08T14:15:58Z,,
TX-000572,PLY-NORM-049,DEPOSIT,567.43,BRL,PIX,SETTLED,2026-01-08T21:22:24Z,,
TX-002271,PLY-BONU-115,BONUS,99.70,BRL,WALLET,SETTLED,2026-01-08T21:28:58Z,Bonus deposito,
TX-001265,PLY-INCO-090,DEPOSIT,1163.72,BRL,TED,SETTLED,2026-01-08T21:50:15Z,,
TX-001200,PLY-INCO-089,DEPOSIT,1081.46,BRL,WALLET,SETTLED,2026-01-08T23:06:44Z,,
TX-000296,PLY-NORM-027,DEPOSIT,295.33,BRL,WALLET,SETTLED,2026-01-08T23:40:06Z,,
TX-002105,PLY-BONU-112,CASHOUT,1269.57,BRL,PIX,SETTLED,2026-01-08T23:50:34Z,,
TX-000102,PLY-NORM-010,DEPOSIT,1723.00,BRL,TED,SETTLED,2026-01-09T04:17:49Z,,
TX-000814,PLY-NORM-068,DEPOSIT,1377.99,BRL,PIX,SETTLED,2026-01-09T04:48:21Z,,
TX-000599,PLY-NORM-051,DEPOSIT,114.17,BRL,TED,SETTLED,2026-01-09T07:15:34Z,,
TX-000770,PLY-NORM-064,DEPOSIT,574.48,BRL,PIX,SETTLED,2026-01-09T09:01:11Z,,
TX-002014,PLY-BONU-111,BONUS,167.44,BRL,WALLET,SETTLED,2026-01-09T11:21:11Z,Bonus deposito,
TX-000288,PLY-NORM-026,DEPOSIT,400.83,BRL,WALLET,SETTLED,2026-01-09T13:20:54Z,,
TX-000528,PLY-NORM-046,DEPOSIT,125.87,BRL,PIX,SETTLED,2026-01-09T13:52:13Z,,
TX-000092,PLY-NORM-009,DEPOSIT,2487.90,BRL,WALLET,SETTLED,2026-01-09T14:11:14Z,,
TX-000995,PLY-INCO-082,DEPOSIT,1452.80,BRL,WALLET,SETTLED,2026-01-09T16:42:02Z,,
TX-002040,PLY-BONU-111,CASHOUT,1221.04,BRL,PIX,SETTLED,2026-01-09T16:47:39Z,,
TX-000560,PLY-NORM-048,DEPOSIT,2008.16,BRL,TED,SETTLED,2026-01-09T16:52:51Z,,
TX-000922,PLY-NORM-077,DEPOSIT,1501.76,BRL,WALLET,SETTLED,2026-01-10T00:47:35Z,,
TX-000165,PLY-NORM-016,DEPOSIT,962.56,BRL,PIX,SETTLED,2026-01-10T01:37:18Z,,
TX-002058,PLY-BONU-112,DEPOSIT,139.58,BRL,PIX,SETTLED,2026-01-10T01:48:00Z,,
TX-000185,PLY-NORM-018,DEPOSIT,459.59,BRL,WALLET,SETTLED,2026-01-10T02:49:42Z,,
TX-000403,PLY-NORM-036,DEPOSIT,1086.35,BRL,WALLET,SETTLED,2026-01-10T03:45:52Z,,
TX-000657,PLY-NORM-056,DEPOSIT,301.13,BRL,PIX,SETTLED,2026-01-10T06:00:18Z,,
TX-000796,PLY-NORM-067,DEPOSIT,2009.84,BRL,PIX,SETTLED,2026-01-10T06:06:14Z,,
TX-002170,PLY-BONU-113,CASHOUT,1053.18,BRL,PIX,SETTLED,2026-01-10T08:30:22Z,,
TX-000031,PLY-NORM-004,DEPOSIT,2511.92,BRL,PIX,SETTLED,2026-01-10T09:44:20Z,,
